frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,10.932,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,1.298,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,0.307,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,1.483,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,0.680,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,0.441,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,0.182,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,0.186,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,0.181,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,0.497,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,0.441,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,0.192,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,0.195,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,0.224,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,0.286,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,0.220,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,0.472,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,0.272,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,0.182,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,0.178,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,0.173,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,0.185,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,0.171,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,0.196,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,0.331,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,0.238,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,0.183,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,0.171,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,0.173,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,0.189,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,0.302,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,0.294,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,0.182,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,0.169,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,0.480,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,0.282,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,0.252,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,0.328,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,0.240,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,0.197,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,0.327,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,0.194,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,0.175,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,0.188,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,0.181,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,0.215,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,0.166,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,0.206,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,0.199,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,0.196,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,0.181,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,0.572,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,0.233,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,0.264,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,0.169,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,0.365,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,0.219,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,0.400,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,0.179,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,0.161,0.000,0.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
