frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,1.263,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,0.179,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,0.127,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,0.124,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,0.120,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,0.124,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,0.215,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,0.212,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,0.127,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,0.122,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,0.118,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,0.200,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,0.351,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,0.192,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,0.184,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,0.159,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,0.139,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,0.127,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,0.119,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,0.120,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,0.513,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,0.145,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,0.121,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,0.119,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,0.119,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,0.121,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,0.118,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,0.119,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,0.118,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,0.119,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,0.119,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,0.120,0.000,0.000,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
