frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,8.883,6.553,6.553,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,7.113,6.783,6.783,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,7.125,6.819,6.819,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,6.892,6.528,6.528,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,6.950,6.512,6.512,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,7.101,6.776,6.776,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,6.795,6.499,6.499,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,6.885,6.457,6.457,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,7.079,6.736,6.736,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,6.825,6.465,6.465,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,7.050,6.453,6.453,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,7.002,6.694,6.694,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,7.101,6.737,6.737,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,6.852,6.523,6.523,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,7.073,6.733,6.733,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,6.997,6.660,6.660,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,6.732,6.421,6.421,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,7.001,6.660,6.660,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,6.948,6.619,6.619,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,6.678,6.360,6.360,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,6.900,6.605,6.605,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,6.735,6.355,6.355,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,6.776,6.307,6.307,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,6.897,6.575,6.575,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,6.561,6.270,6.270,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,6.780,6.481,6.481,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,6.806,6.505,6.505,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,6.549,6.228,6.228,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,6.824,6.489,6.489,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,6.617,6.224,6.224,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,6.781,6.176,6.176,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,6.718,6.419,6.419,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,6.512,6.205,6.205,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,6.746,6.429,6.429,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,6.632,6.133,6.133,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,6.749,6.162,6.162,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,6.778,6.420,6.420,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,6.532,6.147,6.147,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,6.800,6.438,6.438,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,6.569,6.206,6.206,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
41,6.681,6.172,6.172,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
42,7.000,6.626,6.626,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
43,6.801,6.348,6.348,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
44,6.803,6.317,6.317,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
45,6.945,6.602,6.602,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
46,6.694,6.313,6.313,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
47,6.858,6.312,6.312,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
48,6.954,6.565,6.565,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
49,6.718,6.360,6.360,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
