frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,8.825,3.476,3.476,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,7.368,3.470,3.470,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,7.340,3.461,3.461,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,7.124,3.481,3.481,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,7.037,3.459,3.459,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,6.939,3.489,3.489,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,6.699,3.146,3.146,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,7.184,3.487,3.487,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,6.968,3.454,3.454,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,6.624,3.142,3.142,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,6.837,3.465,3.465,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,7.112,3.472,3.472,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,6.718,3.141,3.141,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,6.883,3.473,3.473,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,7.279,3.478,3.478,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,6.873,3.138,3.138,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,6.901,3.459,3.459,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,7.121,3.465,3.465,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,6.901,3.143,3.143,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,7.022,3.472,3.472,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,7.025,3.457,3.457,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,7.015,3.154,3.154,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,6.970,3.433,3.433,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,7.315,3.493,3.493,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,7.132,3.491,3.491,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,7.277,3.610,3.610,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,6.824,3.490,3.490,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,7.280,3.523,3.523,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,7.056,3.189,3.189,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,7.672,3.175,3.175,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,6.995,3.510,3.510,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,7.465,3.518,3.518,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,7.337,3.472,3.472,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,7.354,3.421,3.421,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,7.283,3.489,3.489,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,7.753,3.507,3.507,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,6.925,3.465,3.465,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,6.760,3.421,3.421,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,6.942,3.456,3.456,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,6.851,3.429,3.429,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
41,6.456,3.255,3.255,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
42,6.689,3.194,3.194,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
43,6.314,2.893,2.893,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
44,6.647,3.186,3.186,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
45,6.333,2.896,2.896,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
46,6.476,3.207,3.207,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
47,7.184,3.196,3.196,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
48,7.075,2.889,2.889,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
49,6.473,3.177,3.177,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
50,6.558,3.098,3.098,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
51,6.433,3.195,3.195,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
52,6.700,3.197,3.197,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
53,6.317,2.889,2.889,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
54,6.732,3.186,3.186,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
55,6.306,2.885,2.885,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
56,6.590,3.194,3.194,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
57,6.980,3.198,3.198,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
58,6.770,3.190,3.190,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
59,15.406,3.199,3.199,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
60,23.592,3.194,3.194,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
61,29.773,3.232,3.232,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
62,7.414,3.118,3.118,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
63,8.469,3.208,3.208,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
64,8.378,3.114,3.114,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
65,6.966,3.219,3.219,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
66,6.897,3.254,3.254,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
67,6.489,3.123,3.123,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
68,6.438,3.216,3.216,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
69,6.765,3.230,3.230,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
70,6.433,2.916,2.916,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
71,7.100,3.256,3.256,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
72,6.607,3.154,3.154,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
73,6.644,3.266,3.266,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
74,6.630,3.254,3.254,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
75,6.498,2.953,2.953,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
