frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,63.303,33.585,33.585,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,55.290,32.330,32.330,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,62.469,32.126,32.126,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,55.401,30.494,30.494,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,68.338,38.638,38.638,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,66.754,37.078,37.078,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,61.731,39.047,39.047,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,62.187,39.424,39.424,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,55.959,32.460,32.460,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,55.069,33.003,33.003,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,55.327,33.446,33.446,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,60.071,34.001,34.001,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,58.114,32.687,32.687,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,70.389,47.185,47.185,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,69.042,41.490,41.490,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,80.278,49.964,49.964,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,73.792,37.507,37.507,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,63.995,33.979,33.979,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,61.664,34.430,34.430,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,55.854,33.645,33.645,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
