frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,62.081,33.939,33.939,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,61.169,33.284,33.284,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,62.772,33.550,33.550,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,65.472,33.726,33.726,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,73.433,43.389,43.389,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,72.335,41.494,41.494,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,71.442,42.083,42.083,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,79.919,40.396,40.396,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,78.038,35.330,35.330,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,70.701,34.116,34.116,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,67.460,34.775,34.775,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,63.725,35.221,35.221,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,77.237,44.702,44.702,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,76.843,44.742,44.742,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,76.528,45.466,45.466,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,68.438,38.487,38.487,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,61.680,34.582,34.582,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,63.818,34.819,34.819,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,64.742,35.649,35.649,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,79.073,45.976,45.976,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,73.037,43.979,43.979,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,75.297,43.821,43.821,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,68.896,37.911,37.911,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,62.659,35.140,35.140,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,63.757,35.208,35.208,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,65.342,35.870,35.870,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,122.414,35.358,35.358,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,112.152,46.766,46.766,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,90.123,53.540,53.540,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,72.326,46.836,46.836,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,69.941,43.081,43.081,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,69.724,44.011,44.011,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,63.146,37.431,37.431,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,65.050,40.507,40.507,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,69.079,44.649,44.649,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,67.650,40.421,40.421,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,66.086,40.337,40.337,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,61.422,35.852,35.852,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,66.808,35.721,35.721,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,65.087,37.127,37.127,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
41,64.974,36.381,36.381,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
42,78.745,47.810,47.810,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
43,82.709,47.528,47.528,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
44,85.785,51.689,51.689,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
45,90.191,38.634,38.634,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
46,85.043,37.180,37.180,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
47,70.134,37.930,37.930,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
48,63.557,37.366,37.366,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
49,68.780,40.817,40.817,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
50,67.640,42.242,42.242,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
51,69.487,42.265,42.265,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
52,68.863,42.990,42.990,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
53,63.876,37.756,37.756,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
54,62.718,36.654,36.654,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
55,62.606,37.238,37.238,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
56,62.367,36.962,36.962,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
57,71.105,43.907,43.907,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
58,73.199,45.779,45.779,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
59,67.650,40.439,40.439,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
60,68.596,42.241,42.241,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
61,63.754,37.626,37.626,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
62,65.326,37.996,37.996,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
63,64.066,38.175,38.175,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
64,63.365,36.889,36.889,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
65,76.360,48.324,48.324,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
66,69.010,41.495,41.495,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
67,69.226,44.336,44.336,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
68,69.332,41.848,41.848,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
69,64.186,37.564,37.564,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
70,64.629,37.703,37.703,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
71,64.539,37.682,37.682,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
72,70.142,42.311,42.311,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
73,71.017,43.664,43.664,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
74,68.902,42.433,42.433,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
75,66.148,40.070,40.070,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
76,64.697,39.676,39.676,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
77,64.952,37.218,37.218,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
78,63.667,37.931,37.931,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
79,63.459,37.743,37.743,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
80,71.314,42.915,42.915,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
81,71.501,42.219,42.219,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
82,70.257,42.685,42.685,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
83,69.317,43.293,43.293,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
84,62.041,36.648,36.648,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
85,68.732,41.539,41.539,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
86,63.591,37.560,37.560,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
87,62.652,37.909,37.909,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
88,72.265,42.345,42.345,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
89,68.716,43.148,43.148,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
