frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,8.311,3.321,3.321,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,6.775,3.322,3.322,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,6.489,3.021,3.021,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,7.019,3.342,3.342,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,7.671,3.316,3.316,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,7.351,3.311,3.311,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,6.686,3.017,3.017,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,6.864,3.310,3.310,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,7.075,3.309,3.309,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,6.884,3.305,3.305,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,6.826,3.324,3.324,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,6.742,3.219,3.219,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,6.591,3.321,3.321,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,6.651,3.335,3.335,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,6.465,3.010,3.010,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,6.795,3.311,3.311,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,6.726,3.218,3.218,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,6.616,3.331,3.331,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,6.828,3.312,3.312,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,7.144,3.213,3.213,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,7.040,3.663,3.663,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,7.299,3.370,3.370,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,6.538,3.226,3.226,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,6.752,3.347,3.347,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,7.127,3.315,3.315,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,6.510,3.031,3.031,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,6.615,3.347,3.347,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,7.078,3.334,3.334,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,6.667,3.030,3.030,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,7.107,3.347,3.347,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,7.117,3.346,3.346,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,6.673,3.021,3.021,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,7.454,3.338,3.338,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,9.467,4.179,4.179,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,6.665,3.356,3.356,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,6.788,3.311,3.311,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,6.569,3.011,3.011,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,6.795,3.306,3.306,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,6.565,3.207,3.207,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,6.735,3.309,3.309,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
41,6.900,3.289,3.289,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
42,6.595,2.977,2.977,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
43,7.240,3.312,3.312,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
44,6.730,3.278,3.278,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
45,6.421,2.972,2.972,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
46,6.754,3.290,3.290,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
47,6.733,3.175,3.175,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
48,6.524,3.278,3.278,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
49,7.029,3.295,3.295,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
50,6.361,2.965,2.965,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
51,6.932,3.280,3.280,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
52,7.787,3.835,3.835,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
53,6.468,2.968,2.968,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
54,6.544,3.276,3.276,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
55,6.726,3.279,3.279,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
56,6.716,3.274,3.274,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
57,6.785,3.274,3.274,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
58,6.787,3.175,3.175,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
59,6.775,3.287,3.287,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
60,6.854,3.287,3.287,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
61,6.350,2.978,2.978,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
62,6.673,3.289,3.289,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
63,6.646,3.206,3.206,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
64,6.553,3.286,3.286,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
65,6.778,3.320,3.320,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
66,6.805,2.991,2.991,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
67,6.649,3.301,3.301,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
68,6.591,3.218,3.218,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
69,6.723,3.303,3.303,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
70,6.795,3.330,3.330,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
71,6.515,3.020,3.020,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
72,6.627,3.312,3.312,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
73,6.599,3.236,3.236,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
74,6.598,3.338,3.338,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
75,6.789,3.368,3.368,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
76,6.489,3.048,3.048,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
77,6.595,3.345,3.345,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
78,6.698,3.246,3.246,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
