frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,8.578,3.347,3.347,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,7.610,4.015,4.015,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,7.082,3.662,3.662,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,7.027,3.668,3.668,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,6.703,3.346,3.346,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,6.962,3.709,3.709,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,7.529,3.669,3.669,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,7.262,3.575,3.575,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,7.452,3.657,3.657,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,7.540,3.688,3.688,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,7.252,3.683,3.683,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,7.782,3.686,3.686,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,7.001,3.365,3.365,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,6.921,3.700,3.700,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,7.140,3.723,3.723,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,7.321,3.682,3.682,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,7.064,3.362,3.362,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,7.035,3.698,3.698,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,7.380,3.687,3.687,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,7.191,3.569,3.569,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,7.739,4.432,4.432,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,7.193,3.655,3.655,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,6.997,3.678,3.678,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,6.892,3.559,3.559,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,6.927,3.680,3.680,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,7.146,3.648,3.648,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,7.050,3.579,3.579,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,6.712,3.464,3.464,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,6.900,3.470,3.470,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,7.390,3.456,3.456,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,6.766,3.478,3.478,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,6.894,3.489,3.489,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,6.543,3.181,3.181,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,6.691,3.517,3.517,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,6.817,3.491,3.491,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,6.882,3.202,3.202,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,6.828,3.548,3.548,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,7.035,3.551,3.551,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,6.946,3.261,3.261,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,7.247,3.965,3.965,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
