frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,93.721,68.594,68.594,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,94.691,70.809,70.809,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,93.900,69.951,69.951,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,92.462,68.772,68.772,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,92.957,68.675,68.675,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,92.939,69.390,69.390,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,94.656,71.040,71.040,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,104.886,68.356,68.356,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,107.544,68.272,68.272,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,91.453,68.425,68.425,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,92.364,68.648,68.648,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,93.832,70.528,70.528,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,99.989,70.379,70.379,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,98.335,69.848,69.848,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,91.161,68.207,68.207,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,93.886,70.405,70.405,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,93.359,69.631,69.631,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,93.906,69.825,69.825,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,91.531,68.418,68.418,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,91.878,68.298,68.298,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,91.653,68.361,68.361,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,91.574,68.250,68.250,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,92.647,68.918,68.918,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,93.872,69.940,69.940,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,92.041,68.930,68.930,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,90.668,67.478,67.478,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,90.343,67.600,67.600,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,93.506,70.304,70.304,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,90.948,67.548,67.548,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,93.613,70.047,70.047,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,104.472,71.234,71.234,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,95.621,68.241,68.241,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,96.147,68.587,68.587,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,92.894,68.707,68.707,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,92.254,68.879,68.879,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,92.403,68.253,68.253,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,92.522,68.239,68.239,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,92.933,68.491,68.491,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,92.004,68.542,68.542,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,93.389,70.112,70.112,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
41,93.063,69.529,69.529,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
42,95.262,70.054,70.054,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
43,91.982,68.415,68.415,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
44,99.208,68.091,68.091,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
45,109.369,70.073,70.073,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
46,93.126,69.186,69.186,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
47,93.419,70.321,70.321,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
48,92.323,68.854,68.854,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
49,93.177,69.291,69.291,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
50,93.697,70.135,70.135,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
51,93.071,69.572,69.572,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
52,95.157,71.922,71.922,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
53,94.578,69.928,69.928,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
54,92.633,69.073,69.073,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
55,93.501,69.706,69.706,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
56,94.092,69.223,69.223,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
57,93.654,69.560,69.560,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
58,95.055,70.672,70.672,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
59,93.080,69.894,69.894,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
60,93.106,69.624,69.624,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
61,93.126,69.990,69.990,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
62,92.694,69.448,69.448,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
63,94.349,70.628,70.628,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
64,93.344,69.713,69.713,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
65,93.329,69.094,69.094,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
66,93.097,70.026,70.026,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
67,93.202,69.294,69.294,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
68,94.209,70.434,70.434,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
69,95.520,70.849,70.849,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
70,93.469,69.929,69.929,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
71,93.773,69.985,69.985,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
72,93.673,70.327,70.327,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
73,93.311,69.677,69.677,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
