frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,6.045,3.460,3.460,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,3.799,3.458,3.458,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,3.806,3.457,3.457,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,3.788,3.436,3.436,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,3.621,3.358,3.358,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,3.410,3.106,3.106,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,3.737,3.113,3.113,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,3.826,3.474,3.474,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,3.998,3.685,3.685,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,3.944,3.639,3.639,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,3.739,3.446,3.446,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,3.694,3.407,3.407,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,3.663,3.402,3.402,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,3.660,3.404,3.404,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,3.623,3.334,3.334,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,3.516,3.083,3.083,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,3.671,3.079,3.079,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,3.670,3.365,3.365,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,3.674,3.392,3.392,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,3.651,3.374,3.374,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,3.672,3.376,3.376,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,3.599,3.337,3.337,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,3.562,3.266,3.266,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,3.371,3.022,3.022,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,3.465,3.019,3.019,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,3.605,3.327,3.327,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,3.608,3.334,3.334,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,3.568,3.307,3.307,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,3.555,3.288,3.288,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,3.502,3.197,3.197,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
