frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,40.483,14.978,14.978,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,39.270,15.796,15.796,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,42.735,15.006,15.006,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,37.060,14.924,14.924,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,37.720,15.772,15.772,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,37.007,14.972,14.972,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,38.091,15.077,15.077,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,37.253,14.721,14.721,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,37.532,15.071,15.071,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,38.414,15.061,15.061,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,41.339,15.255,15.255,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,45.870,16.505,16.505,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,51.409,15.777,15.777,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,47.080,16.458,16.458,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,51.365,16.195,16.195,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,52.450,16.464,16.464,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,41.139,15.715,15.715,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,39.264,15.120,15.120,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,42.520,15.312,15.312,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,40.191,16.453,16.453,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,38.738,15.658,15.658,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,37.651,15.311,15.311,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,38.582,15.639,15.639,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
