frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,43.227,17.393,17.393,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,40.528,16.994,16.994,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,39.964,16.302,16.302,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,40.142,16.757,16.757,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,40.072,16.848,16.848,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,40.500,16.375,16.375,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,40.476,16.877,16.877,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,41.001,17.153,17.153,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,38.997,16.146,16.146,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,40.084,17.092,17.092,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,41.111,16.845,16.845,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,39.657,16.266,16.266,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,40.212,17.144,17.144,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,42.781,18.671,18.671,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,41.097,16.542,16.542,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,39.798,17.185,17.185,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,46.195,17.185,17.185,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,47.245,17.434,17.434,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,44.557,17.388,17.388,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,47.912,17.704,17.704,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,40.437,17.447,17.447,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,40.749,17.364,17.364,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,45.088,18.664,18.664,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,40.187,16.568,16.568,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,40.238,17.111,17.111,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,40.736,17.396,17.396,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,39.808,16.793,16.793,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,40.477,17.545,17.545,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,40.415,17.560,17.560,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,40.260,16.829,16.829,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,41.071,16.855,16.855,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,41.764,16.875,16.875,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,40.482,17.426,17.426,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,40.310,17.834,17.834,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,40.112,16.842,16.842,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,40.826,17.840,17.840,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,40.903,17.598,17.598,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,40.535,17.824,17.824,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,41.577,17.605,17.605,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,42.781,17.485,17.485,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,42.583,18.084,18.084,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,41.334,17.903,17.903,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,41.380,17.912,17.912,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,42.200,17.849,17.849,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,41.453,17.809,17.809,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,41.021,17.763,17.763,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,40.752,17.594,17.594,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,71.697,17.770,17.770,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,51.932,18.023,18.023,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,42.699,18.831,18.831,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,42.682,19.010,19.010,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,41.958,17.934,17.934,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,40.322,17.843,17.843,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,40.429,17.087,17.087,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,42.511,18.746,18.746,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,42.123,17.852,17.852,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,41.245,17.892,17.892,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,40.615,17.498,17.498,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,41.395,18.387,18.387,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,40.514,17.875,17.875,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,41.292,18.050,18.050,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,41.546,18.101,18.101,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,41.416,17.971,17.971,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
