frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,44.320,18.686,18.686,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,40.931,18.500,18.500,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,42.074,19.515,19.515,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,41.719,19.759,19.759,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,47.135,18.447,18.447,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,45.949,20.398,20.398,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,43.420,21.182,21.182,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,45.109,22.140,22.140,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,41.783,19.609,19.609,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,41.452,18.506,18.506,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,45.757,19.683,19.683,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,39.596,17.467,17.467,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,43.904,16.797,16.797,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,41.503,18.226,18.226,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,48.480,18.420,18.420,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,44.741,18.034,18.034,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,44.257,17.129,17.129,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,41.276,18.137,18.137,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,44.634,18.625,18.625,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,41.736,18.757,18.757,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,40.930,18.626,18.626,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,41.689,18.705,18.705,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,42.342,19.168,19.168,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,48.592,24.085,24.085,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,44.148,18.308,18.308,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,45.118,18.130,18.130,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,44.219,18.219,18.219,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,45.262,19.184,19.184,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,42.170,17.929,17.929,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,41.062,18.876,18.876,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,42.495,19.830,19.830,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,41.820,18.754,18.754,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,42.484,19.082,19.082,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,43.788,20.072,20.072,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,43.266,19.859,19.859,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,43.741,21.218,21.218,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,40.839,18.102,18.102,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,40.112,18.248,18.248,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,44.305,19.262,19.262,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,40.638,18.361,18.361,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,40.823,18.127,18.127,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,41.002,18.507,18.507,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,43.457,19.763,19.763,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,44.658,19.999,19.999,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,47.148,19.488,19.488,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,43.169,20.461,20.461,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
