frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,4.282,1.523,1.523,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,2.035,1.764,1.764,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,1.821,1.527,1.527,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,1.752,1.528,1.528,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,1.958,1.529,1.529,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,1.785,1.534,1.534,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,1.971,1.769,1.769,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,1.785,1.534,1.534,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,2.017,1.773,1.773,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,1.824,1.535,1.535,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,1.969,1.773,1.773,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,1.798,1.535,1.535,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,1.982,1.776,1.776,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,1.855,1.536,1.536,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,1.830,1.534,1.534,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,1.941,1.533,1.533,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,1.785,1.532,1.532,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,1.968,1.769,1.769,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,1.792,1.530,1.530,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,1.989,1.773,1.773,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,1.785,1.532,1.532,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,1.989,1.776,1.776,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,1.850,1.533,1.533,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
24,2.083,1.772,1.772,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
25,1.895,1.528,1.528,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
26,1.810,1.527,1.527,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
27,1.945,1.527,1.527,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
28,1.839,1.524,1.524,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
29,1.838,1.521,1.521,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
30,1.797,1.519,1.519,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
31,1.973,1.752,1.752,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
32,1.841,1.513,1.513,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
33,2.039,1.749,1.749,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
34,1.857,1.509,1.509,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
35,1.965,1.740,1.740,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
36,1.791,1.501,1.501,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
37,1.726,1.501,1.501,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
38,1.920,1.498,1.498,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
39,1.774,1.495,1.495,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
40,1.962,1.727,1.727,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
41,1.882,1.489,1.489,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
42,1.962,1.728,1.728,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
43,1.732,1.485,1.485,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
44,1.927,1.720,1.720,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
45,1.723,1.480,1.480,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
46,1.687,1.478,1.478,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
47,1.866,1.478,1.478,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
48,1.670,1.478,1.478,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
49,1.927,1.709,1.709,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
50,1.744,1.475,1.475,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
51,1.925,1.706,1.706,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
52,1.753,1.473,1.473,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
53,1.929,1.708,1.708,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
54,1.811,1.470,1.470,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
55,1.758,1.470,1.470,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
56,1.897,1.469,1.469,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
57,1.744,1.469,1.469,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
58,1.938,1.699,1.699,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
59,1.725,1.436,1.436,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
60,1.851,1.657,1.657,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
61,1.660,1.417,1.417,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
62,1.617,1.412,1.412,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
63,1.851,1.409,1.409,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
64,1.675,1.407,1.407,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
65,1.835,1.636,1.636,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
66,1.639,1.404,1.404,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
67,1.876,1.640,1.640,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
68,1.696,1.356,1.356,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
69,1.573,1.303,1.303,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
70,1.764,1.302,1.302,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
71,1.581,1.303,1.303,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
72,1.746,1.525,1.525,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
73,1.528,1.307,1.307,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
74,1.475,1.309,1.309,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
75,1.787,1.535,1.535,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
76,1.732,1.314,1.314,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
77,1.767,1.538,1.538,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
78,1.589,1.317,1.317,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
79,1.504,1.319,1.319,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
80,1.755,1.547,1.547,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
81,1.580,1.324,1.324,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
82,1.734,1.537,1.537,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
83,1.572,1.329,1.329,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
84,1.551,1.331,1.331,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
85,1.860,1.554,1.554,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
86,1.643,1.333,1.333,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
87,1.864,1.558,1.558,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
88,1.615,1.334,1.334,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
89,1.611,1.335,1.335,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
90,1.814,1.334,1.334,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
91,1.591,1.335,1.335,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
92,1.779,1.555,1.555,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
93,1.661,1.339,1.339,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
94,1.553,1.339,1.339,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
95,1.764,1.340,1.340,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
96,1.586,1.344,1.344,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
97,1.761,1.564,1.564,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
98,1.568,1.349,1.349,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
