frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,5.869,3.331,3.331,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,3.388,3.070,3.070,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,3.492,3.051,3.051,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,3.646,3.340,3.340,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,3.617,3.350,3.350,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,3.688,3.375,3.375,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,3.735,3.377,3.377,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,3.651,3.329,3.329,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,3.556,3.259,3.259,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,3.414,3.017,3.017,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,3.471,3.016,3.016,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,3.597,3.324,3.324,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,3.621,3.329,3.329,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,3.598,3.329,3.329,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,3.586,3.314,3.314,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,3.578,3.251,3.251,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,3.261,3.004,3.004,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,3.460,3.000,3.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,3.576,3.293,3.293,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,3.605,3.300,3.300,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,3.604,3.301,3.301,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,3.565,3.300,3.300,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,3.247,2.954,2.954,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,3.383,2.951,2.951,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,3.580,3.222,3.222,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,3.567,3.273,3.273,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,3.560,3.245,3.245,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,3.449,3.196,3.196,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,3.489,3.135,3.135,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,3.177,2.901,2.901,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
