frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,5.865,1.502,1.502,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,4.555,1.501,1.501,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,4.505,1.529,1.529,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,4.850,1.503,1.503,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,4.781,1.530,1.530,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,4.725,1.495,1.495,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,4.761,1.497,1.497,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,4.676,1.491,1.491,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,4.883,1.513,1.513,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,4.856,1.500,1.500,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,4.861,1.497,1.497,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,4.639,1.519,1.519,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,5.565,1.504,1.504,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,4.710,1.499,1.499,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,4.457,1.503,1.503,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,4.496,1.514,1.514,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,4.560,1.511,1.511,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,4.556,1.504,1.504,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,4.408,1.495,1.495,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,4.558,1.492,1.492,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,4.621,1.486,1.486,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,4.507,1.476,1.476,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,4.518,1.478,1.478,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,4.707,1.473,1.473,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,4.744,1.482,1.482,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,4.636,1.477,1.477,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,4.768,1.501,1.501,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,5.183,1.474,1.474,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,4.862,1.486,1.486,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,5.041,1.772,1.772,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,5.052,1.477,1.477,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,4.657,1.490,1.490,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,4.724,1.485,1.485,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,4.819,1.499,1.499,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,5.051,1.495,1.495,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,6.527,1.488,1.488,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,4.920,1.472,1.472,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,4.900,1.494,1.494,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,5.221,1.816,1.816,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,4.768,1.514,1.514,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,4.813,1.488,1.488,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,4.858,1.497,1.497,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,4.841,1.505,1.505,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,5.137,1.896,1.896,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,5.551,2.009,2.009,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,5.237,1.675,1.675,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,4.959,1.677,1.677,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,5.299,1.986,1.986,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,5.014,1.699,1.699,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,4.858,1.687,1.687,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,4.862,1.696,1.696,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,4.779,1.702,1.702,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,4.728,1.698,1.698,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,4.640,1.711,1.711,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,4.650,1.690,1.690,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,4.800,1.689,1.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,4.665,1.711,1.711,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,4.679,1.712,1.712,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,4.939,1.694,1.694,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,4.765,1.714,1.714,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,4.649,1.705,1.705,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,4.782,1.710,1.710,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,4.901,1.725,1.725,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
64,4.866,1.707,1.707,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
65,5.003,1.701,1.701,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
66,4.790,1.697,1.697,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
67,4.731,1.708,1.708,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
68,4.686,1.698,1.698,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
69,4.891,1.674,1.674,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
70,4.961,1.680,1.680,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
71,4.838,1.654,1.654,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
72,5.080,1.669,1.669,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
73,4.916,1.656,1.656,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
74,4.724,1.642,1.642,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
75,4.843,1.628,1.628,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
76,5.969,1.634,1.634,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
77,4.727,1.627,1.627,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
78,5.291,1.936,1.936,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
79,4.840,1.622,1.622,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
80,4.834,1.618,1.618,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
81,4.822,1.612,1.612,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
82,4.946,1.602,1.602,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
83,5.168,1.923,1.923,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
84,5.045,1.910,1.910,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
85,4.864,1.606,1.606,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
86,4.898,1.610,1.610,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
87,4.900,1.569,1.569,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
88,5.102,1.916,1.916,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
89,4.948,1.873,1.873,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
90,4.757,1.570,1.570,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
91,4.805,1.564,1.564,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
92,4.786,1.556,1.556,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
93,4.801,1.579,1.579,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
94,5.367,1.869,1.869,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
95,4.779,1.561,1.561,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
96,4.755,1.555,1.555,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
97,4.927,1.558,1.558,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
98,4.802,1.567,1.567,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
99,6.253,1.877,1.877,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
100,4.876,1.550,1.550,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
