frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,5.429,3.352,3.352,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,3.696,3.359,3.359,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,3.707,3.407,3.407,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,3.683,3.388,3.388,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,3.632,3.369,3.369,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,3.599,3.329,3.329,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,3.563,3.273,3.273,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,3.382,3.029,3.029,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,3.568,3.311,3.311,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,3.637,3.362,3.362,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,3.648,3.375,3.375,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,3.599,3.356,3.356,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,3.596,3.337,3.337,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,3.520,3.255,3.255,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,3.397,3.010,3.010,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,3.570,3.010,3.010,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,3.632,3.320,3.320,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,3.595,3.311,3.311,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,3.612,3.318,3.318,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,3.637,3.301,3.301,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,3.526,3.199,3.199,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,3.287,2.966,2.966,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,3.488,3.241,3.241,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,3.541,3.263,3.263,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,3.562,3.279,3.279,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,3.489,3.238,3.238,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,3.450,3.148,3.148,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,3.162,2.917,2.917,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,3.397,3.196,3.196,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,3.494,3.244,3.244,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,3.445,3.192,3.192,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,3.468,3.195,3.195,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,3.157,2.895,2.895,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
