frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,41.112,17.594,17.594,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,40.340,18.014,18.014,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,40.521,17.448,17.448,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,42.528,19.139,19.139,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,41.512,17.841,17.841,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,41.428,17.852,17.852,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,40.398,16.455,16.455,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,39.685,16.781,16.781,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,42.036,16.788,16.788,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,38.572,16.200,16.200,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,39.264,16.789,16.789,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,39.039,16.740,16.740,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,39.648,17.167,17.167,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,39.626,15.962,15.962,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,38.563,16.466,16.466,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,39.620,17.127,17.127,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,41.019,17.350,17.350,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,39.528,17.120,17.120,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,39.597,16.930,16.930,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,39.716,17.550,17.550,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,39.073,16.965,16.965,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,40.058,17.281,17.281,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,41.415,16.374,16.374,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,40.036,17.385,17.385,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,44.043,17.534,17.534,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,40.978,17.668,17.668,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,39.556,17.174,17.174,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,39.873,16.798,16.798,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,42.057,18.036,18.036,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,40.745,18.046,18.046,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,39.374,17.461,17.461,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,38.773,15.663,15.663,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,39.419,16.636,16.636,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,39.333,16.887,16.887,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,37.411,15.488,15.488,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,37.834,15.810,15.810,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,37.422,15.735,15.735,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,37.744,15.551,15.551,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,38.053,15.872,15.872,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,37.881,16.030,16.030,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,38.601,16.608,16.608,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,38.793,15.689,15.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,38.717,16.003,16.003,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,37.964,15.978,15.978,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,39.612,16.872,16.872,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,39.032,15.987,15.987,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,40.631,17.266,17.266,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,40.083,17.020,17.020,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,38.909,16.606,16.606,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,38.038,15.981,15.981,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,40.083,17.017,17.017,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,38.966,15.986,15.986,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,38.659,16.231,16.231,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,38.836,16.954,16.954,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,38.941,17.081,17.081,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,38.667,16.641,16.641,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,38.553,16.818,16.818,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,39.374,17.214,17.214,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,38.541,16.401,16.401,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,39.320,16.920,16.920,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,38.939,15.976,15.976,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,39.553,17.060,17.060,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,38.919,17.179,17.179,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
64,40.216,17.020,17.020,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
65,39.462,16.331,16.331,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
66,38.667,16.192,16.192,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
67,38.962,17.111,17.111,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
68,38.857,16.892,16.892,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
69,38.898,16.337,16.337,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
70,39.069,17.274,17.274,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
71,38.858,16.985,16.985,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
72,38.356,16.251,16.251,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
73,38.895,16.846,16.846,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
74,38.543,16.815,16.815,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
75,38.125,16.245,16.245,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
76,41.427,17.131,17.131,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
77,38.504,16.432,16.432,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
78,39.956,17.154,17.154,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
79,39.478,16.377,16.377,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
80,39.767,16.973,16.973,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
81,37.891,15.857,15.857,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
82,37.851,15.856,15.856,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
83,39.488,16.977,16.977,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
84,40.047,17.281,17.281,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
85,38.373,16.578,16.578,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
86,38.652,16.858,16.858,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
87,38.493,16.734,16.734,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
88,37.897,16.072,16.072,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
89,38.460,16.034,16.034,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
90,37.880,16.080,16.080,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
91,39.383,16.865,16.865,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
92,39.325,16.344,16.344,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
93,38.709,16.561,16.561,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
94,38.642,16.952,16.952,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
95,38.067,15.858,15.858,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
96,37.896,15.970,15.970,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
97,40.426,16.668,16.668,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
98,39.630,17.411,17.411,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
99,38.560,16.748,16.748,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
100,39.477,16.590,16.590,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
