frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,57.894,34.807,34.807,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
2,57.705,35.222,35.222,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
3,57.931,35.120,35.120,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
4,58.562,36.693,36.693,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
5,58.651,36.610,36.610,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
6,54.692,32.507,32.507,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
7,56.001,32.650,32.650,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
8,56.444,33.227,33.227,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
9,55.745,32.591,32.591,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
10,58.269,32.993,32.993,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
11,59.518,33.561,33.561,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
12,69.862,33.954,33.954,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
13,85.350,33.020,33.020,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
14,72.441,32.822,32.822,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
15,55.694,33.318,33.318,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
16,55.974,33.828,33.828,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
17,54.872,32.983,32.983,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
18,55.620,33.500,33.500,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
19,55.726,33.776,33.776,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
20,55.098,32.945,32.945,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
21,56.638,34.186,34.186,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
22,56.298,34.485,34.485,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
23,57.066,34.095,34.095,0.000,1920,1080,2559967232,"NVIDIA GeForce RTX 3060"
