frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,42.572,18.163,18.163,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,41.329,18.367,18.367,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,41.472,19.271,19.271,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,41.558,19.473,19.473,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,42.459,18.594,18.594,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,40.898,18.495,18.495,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,39.819,16.672,16.672,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,40.626,17.089,17.089,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,41.440,17.345,17.345,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,43.002,17.691,17.691,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,40.014,17.141,17.141,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,39.323,16.491,16.491,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,41.026,17.748,17.748,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,41.016,17.783,17.783,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,40.295,17.607,17.607,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,40.146,16.781,16.781,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,40.605,17.579,17.579,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,41.582,17.814,17.814,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,40.374,17.387,17.387,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,39.228,16.784,16.784,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,40.878,17.691,17.691,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,40.203,17.722,17.722,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,40.096,18.000,18.000,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,40.384,17.684,17.684,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,41.720,17.848,17.848,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,40.904,17.858,17.858,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,39.058,17.099,17.099,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,40.167,18.082,18.082,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,39.565,17.105,17.105,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,41.175,18.417,18.417,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,41.401,16.799,16.799,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,40.590,17.806,17.806,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,40.607,18.135,18.135,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,39.901,17.940,17.940,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,40.254,18.173,18.173,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,40.040,17.874,17.874,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,40.189,17.960,17.960,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,41.826,18.304,18.304,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,40.592,18.408,18.408,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,40.694,18.227,18.227,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,41.525,18.332,18.332,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,41.378,19.412,19.412,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,40.807,18.869,18.869,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,40.861,18.288,18.288,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,42.631,19.184,19.184,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,40.249,18.115,18.115,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,40.850,18.241,18.241,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,40.502,18.285,18.285,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,39.882,17.485,17.485,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,42.694,19.302,19.302,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,40.452,18.410,18.410,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,40.093,18.260,18.260,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,40.721,18.163,18.163,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,41.148,19.093,19.093,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,42.010,19.572,19.572,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,41.336,19.103,19.103,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,40.728,18.521,18.521,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,40.310,18.177,18.177,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,40.168,18.180,18.180,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,41.104,19.097,19.097,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,41.723,18.056,18.056,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,40.737,18.755,18.755,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,41.730,18.415,18.415,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
64,40.737,18.535,18.535,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
65,40.453,18.185,18.185,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
66,40.623,18.337,18.337,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
67,41.916,18.327,18.327,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
68,41.340,18.175,18.175,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
69,41.695,19.346,19.346,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
70,40.456,17.524,17.524,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
71,41.151,18.774,18.774,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
72,40.697,18.324,18.324,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
73,40.225,18.189,18.189,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
74,40.362,17.599,17.599,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
75,41.889,18.688,18.688,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
76,40.653,18.514,18.514,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
77,41.500,18.334,18.334,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
78,40.690,18.404,18.404,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
79,42.038,18.156,18.156,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
80,42.607,18.738,18.738,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
81,40.319,18.183,18.183,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
82,41.514,18.202,18.202,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
83,40.616,18.175,18.175,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
84,41.428,19.318,19.318,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
85,41.567,18.189,18.189,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
86,42.149,18.468,18.468,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
87,40.136,17.400,17.400,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
88,40.469,18.114,18.114,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
89,40.476,18.337,18.337,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
90,40.991,18.252,18.252,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
91,41.341,18.504,18.504,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
92,40.773,18.682,18.682,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
93,40.360,18.093,18.093,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
94,44.057,19.006,19.006,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
95,42.821,18.181,18.181,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
96,42.413,18.218,18.218,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
97,42.160,18.297,18.297,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
98,40.828,18.006,18.006,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
99,40.658,17.972,17.972,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
100,41.389,18.310,18.310,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
