frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,42.298,19.200,19.200,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,42.105,18.326,18.326,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,40.191,17.518,17.518,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,42.558,18.425,18.425,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,40.950,18.485,18.485,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,43.914,18.521,18.521,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,41.884,15.965,15.965,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,44.317,17.262,17.262,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,40.935,17.179,17.179,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,40.089,16.348,16.348,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,41.401,17.381,17.381,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,40.632,16.966,16.966,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,39.214,17.364,17.364,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,39.257,17.415,17.415,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,38.824,17.084,17.084,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,38.424,16.521,16.521,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,39.469,17.335,17.335,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,39.692,16.852,16.852,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,41.770,16.683,16.683,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,41.564,16.928,16.928,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,39.176,17.299,17.299,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,40.447,16.711,16.711,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,39.328,17.618,17.618,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,39.217,17.489,17.489,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,39.366,17.560,17.560,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,39.802,17.936,17.936,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,39.301,17.421,17.421,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,39.610,17.939,17.939,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,39.577,17.861,17.861,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,39.830,17.919,17.919,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,39.694,17.906,17.906,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,40.658,18.740,18.740,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,42.169,18.133,18.133,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
