frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,59.467,34.900,34.900,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,57.572,34.425,34.425,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,60.068,35.757,35.757,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,56.819,34.035,34.035,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,54.540,31.241,31.241,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,55.741,31.924,31.924,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,55.894,32.388,32.388,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,55.957,31.644,31.644,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,54.932,31.686,31.686,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,56.268,32.307,32.307,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,54.619,31.496,31.496,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,55.548,31.375,31.375,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,56.643,33.846,33.846,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,55.347,31.903,31.903,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,56.215,32.286,32.286,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,55.335,31.688,31.688,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,55.346,32.747,32.747,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,56.148,33.215,33.215,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,55.122,31.394,31.394,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,55.319,31.373,31.373,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,55.729,31.381,31.381,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,56.668,32.929,32.929,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,54.901,31.845,31.845,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,55.128,32.597,32.597,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,55.366,31.520,31.520,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,57.430,32.663,32.663,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,54.205,30.982,30.982,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,53.822,31.297,31.297,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,54.990,31.365,31.365,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,54.892,31.197,31.197,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,56.640,33.615,33.615,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,55.830,31.406,31.406,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,54.004,31.480,31.480,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,55.281,31.468,31.468,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,53.871,31.600,31.600,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,56.079,33.611,33.611,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,55.039,31.434,31.434,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,54.530,31.734,31.734,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,55.355,31.618,31.618,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,55.097,32.254,32.254,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,55.867,31.403,31.403,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,56.710,32.678,32.678,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,55.484,32.348,32.348,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,55.330,32.081,32.081,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,54.471,31.938,31.938,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,61.041,29.555,29.555,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,65.787,32.734,32.734,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,54.809,31.813,31.813,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,55.934,32.856,32.856,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,56.187,32.683,32.683,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,56.190,32.199,32.199,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,56.193,31.603,31.603,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,56.111,32.436,32.436,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,55.484,32.368,32.368,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,57.263,32.844,32.844,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,56.557,31.819,31.819,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,57.252,32.901,32.901,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,56.584,33.018,33.018,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,56.249,31.935,31.935,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,55.318,31.737,31.737,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,56.465,32.842,32.842,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,55.728,31.615,31.615,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,56.995,32.728,32.728,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
64,58.188,33.959,33.959,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
65,56.493,32.093,32.093,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
66,56.163,32.795,32.795,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
67,58.445,33.022,33.022,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
68,55.622,31.943,31.943,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
69,55.068,32.333,32.333,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
70,56.555,32.858,32.858,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
71,56.574,32.403,32.403,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
72,56.288,32.996,32.996,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
73,56.926,33.135,33.135,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
74,55.703,31.694,31.694,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
75,57.585,32.725,32.725,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
76,58.973,32.262,32.262,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
77,56.651,32.864,32.864,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
78,55.255,31.670,31.670,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
79,56.038,32.167,32.167,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
80,56.013,33.069,33.069,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
81,55.388,31.671,31.671,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
82,55.010,31.916,31.916,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
83,57.086,33.750,33.750,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
84,55.458,32.393,32.393,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
85,60.001,32.819,32.819,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
86,56.624,32.013,32.013,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
87,55.664,32.616,32.616,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
88,55.503,31.844,31.844,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
89,56.269,32.914,32.914,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
90,55.065,31.900,31.900,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
91,56.045,31.806,31.806,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
92,55.735,32.545,32.545,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
93,55.886,32.826,32.826,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
94,57.528,32.809,32.809,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
95,54.910,31.764,31.764,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
96,57.953,33.379,33.379,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
97,57.175,33.017,33.017,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
98,57.045,32.520,32.520,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
99,55.765,31.650,31.650,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
100,59.089,31.930,31.930,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
