frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,6.926,1.538,1.538,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,5.135,1.890,1.890,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,5.096,1.545,1.545,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,5.201,1.541,1.541,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,5.811,1.850,1.850,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,4.996,1.541,1.541,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,4.783,1.548,1.548,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,5.313,1.561,1.561,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,4.932,1.551,1.551,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,5.169,1.862,1.862,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,4.825,1.548,1.548,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,4.974,1.535,1.535,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,4.784,1.548,1.548,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,4.841,1.547,1.547,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,5.128,1.864,1.864,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,5.117,1.558,1.558,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,5.324,1.558,1.558,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,4.833,1.574,1.574,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,5.614,1.854,1.854,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,4.931,1.857,1.857,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,4.751,1.525,1.525,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,4.904,1.528,1.528,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,4.798,1.526,1.526,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,4.804,1.532,1.532,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,5.186,1.859,1.859,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,4.874,1.517,1.517,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,4.779,1.528,1.528,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,4.726,1.511,1.511,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,4.965,1.516,1.516,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,5.083,1.854,1.854,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,4.958,1.864,1.864,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,4.948,1.560,1.560,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,4.929,1.531,1.531,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,4.964,1.530,1.530,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,5.918,1.895,1.895,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,4.779,1.545,1.545,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,4.992,1.546,1.546,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,4.752,1.527,1.527,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,4.775,1.525,1.525,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,5.037,1.830,1.830,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,4.807,1.539,1.539,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,4.831,1.535,1.535,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,4.859,1.553,1.553,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,5.493,1.938,1.938,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,5.182,2.073,2.073,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,4.948,1.720,1.720,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,5.282,1.729,1.729,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,5.613,1.950,1.950,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,5.801,2.575,2.575,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,5.192,1.747,1.747,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,5.170,1.759,1.759,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,5.814,2.464,2.464,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,5.452,1.734,1.734,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,6.563,2.410,2.410,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,5.737,2.180,2.180,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,5.890,1.958,1.958,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,6.230,2.499,2.499,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,6.282,1.983,1.983,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,6.325,2.461,2.461,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,5.167,1.749,1.749,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,6.532,2.490,2.490,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,5.225,1.765,1.765,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,6.080,1.970,1.970,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
64,5.836,2.181,2.181,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
65,5.866,1.742,1.742,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
66,6.331,2.486,2.486,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
67,5.428,1.700,1.700,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
68,6.718,2.403,2.403,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
69,6.019,1.695,1.695,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
70,6.312,2.389,2.389,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
71,5.500,1.670,1.670,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
72,5.183,1.654,1.654,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
73,5.969,2.401,2.401,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
74,6.373,1.646,1.646,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
75,5.970,2.402,2.402,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
76,5.567,2.075,2.075,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
77,5.670,1.638,1.638,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
78,6.357,2.060,2.060,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
79,5.150,1.619,1.619,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
80,5.706,1.937,1.937,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
81,5.516,2.055,2.055,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
82,5.741,1.606,1.606,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
