frameIndex,cpuFrameMs,gpuTotalMs,gpuComputeMs,gpuRenderMs,screenW,screenH,driverVersion,gpuName
1,3.043,0.686,0.686,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
2,1.058,0.687,0.687,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
3,0.903,0.687,0.687,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
4,1.020,0.687,0.687,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
5,0.989,0.687,0.687,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
6,1.055,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
7,1.187,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
8,0.979,0.690,0.690,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
9,0.979,0.690,0.690,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
10,1.118,0.690,0.690,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
11,0.890,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
12,0.864,0.691,0.691,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
13,0.853,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
14,1.120,0.924,0.924,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
15,0.955,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
16,0.869,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
17,0.844,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
18,0.877,0.689,0.689,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
19,1.099,0.690,0.690,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
20,0.926,0.687,0.687,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
21,0.916,0.686,0.686,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
22,1.001,0.688,0.688,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
23,1.004,0.688,0.688,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
24,0.897,0.688,0.688,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
25,0.867,0.688,0.688,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
26,0.859,0.685,0.685,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
27,1.124,0.917,0.917,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
28,0.988,0.684,0.684,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
29,0.938,0.685,0.685,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
30,0.886,0.685,0.685,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
31,0.873,0.682,0.682,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
32,1.097,0.681,0.681,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
33,0.913,0.679,0.679,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
34,0.863,0.678,0.678,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
35,0.861,0.678,0.678,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
36,1.107,0.905,0.905,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
37,0.947,0.676,0.676,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
38,0.927,0.673,0.673,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
39,0.854,0.673,0.673,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
40,1.121,0.898,0.898,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
41,0.967,0.670,0.670,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
42,0.907,0.670,0.670,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
43,0.909,0.668,0.668,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
44,0.928,0.665,0.665,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
45,1.123,0.665,0.665,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
46,0.957,0.666,0.666,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
47,0.831,0.666,0.666,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
48,0.836,0.664,0.664,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
49,1.097,0.898,0.898,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
50,0.901,0.663,0.663,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
51,0.827,0.663,0.663,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
52,0.825,0.664,0.664,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
53,0.856,0.663,0.663,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
54,1.087,0.665,0.665,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
55,0.986,0.663,0.663,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
56,0.924,0.662,0.662,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
57,0.924,0.662,0.662,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
58,1.350,0.660,0.660,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
59,0.949,0.648,0.648,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
60,0.814,0.643,0.643,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
61,0.808,0.638,0.638,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
62,1.076,0.872,0.872,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
63,1.008,0.635,0.635,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
64,0.894,0.633,0.633,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
65,0.792,0.634,0.634,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
66,1.094,0.875,0.875,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
67,0.946,0.636,0.636,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
68,0.878,0.632,0.632,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
69,0.791,0.631,0.631,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
70,0.823,0.633,0.633,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
71,1.049,0.632,0.632,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
72,0.874,0.635,0.635,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
73,0.799,0.635,0.635,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
74,0.803,0.634,0.634,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
75,0.814,0.637,0.637,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
76,1.052,0.639,0.639,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
77,0.898,0.640,0.640,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
78,0.824,0.640,0.640,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
79,0.811,0.642,0.642,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
80,1.075,0.887,0.887,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
81,0.926,0.644,0.644,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
82,0.904,0.646,0.646,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
83,0.817,0.648,0.648,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
84,0.861,0.648,0.648,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
85,0.984,0.649,0.649,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
86,0.876,0.648,0.648,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
87,0.822,0.646,0.646,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
88,0.827,0.647,0.647,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
89,0.845,0.649,0.649,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
90,1.048,0.649,0.649,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
91,0.875,0.648,0.648,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
92,0.818,0.649,0.649,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
93,0.815,0.649,0.649,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
94,1.086,0.890,0.890,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
95,0.878,0.651,0.651,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
96,0.845,0.653,0.653,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
97,0.807,0.651,0.651,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
98,0.885,0.657,0.657,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
99,1.231,0.658,0.658,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
100,0.906,0.656,0.656,0.000,1280,720,2559967232,"NVIDIA GeForce RTX 3060"
